@relation cleaned_summer_products

@attribute price numeric
@attribute retail_price numeric
@attribute rating numeric
@attribute rating_count numeric
@attribute badge_local_product numeric
@attribute badge_product_quality numeric
@attribute shipping_is_express numeric
@attribute countries_shipped_to numeric
@attribute merchant_rating_count numeric
@attribute merchant_rating numeric
@attribute merchant_has_profile_picture numeric
@attribute performance {average,very_successful,successful}

@data
16,14,3.76,54,0,0,0,34,568,4.128521,0,average
8,22,3.45,6135,0,0,0,41,17752,3.899673,0,very_successful
8,43,3.57,14,0,0,0,36,295,3.989831,0,average
8,8,4.03,579,0,0,0,41,23832,4.020435,0,successful
2.72,3,3.1,20,0,0,0,35,14482,4.001588,0,average
3.92,9,5,1,0,0,0,40,65,3.507692,0,average
7,6,3.84,6742,0,0,0,31,10194,4.076516,1,very_successful
12,11,3.76,286,0,0,0,139,342,3.681287,0,successful
11,84,3.47,15,0,0,0,36,330,3.80303,0,average
5.78,22,3.6,687,0,0,0,33,5534,3.999819,0,successful
5.79,5,3.46,613,0,0,0,25,9470,3.956811,0,successful
6,8,3.31,13,0,0,0,40,3515,3.983784,0,average
1.91,6,3.45,141,0,0,0,38,557,4.123878,0,successful
5.79,42,3.32,121,0,0,0,43,5083,3.947472,0,successful
2,2,3.65,2457,0,0,0,36,55499,4.138885,0,very_successful
11,81,3.92,426,0,0,0,41,39381,4.066326,0,successful
11,10,3.72,2058,0,0,0,34,6302,3.958426,0,successful
5,25,3.83,17980,0,0,0,41,139223,3.933581,0,very_successful
9,9,3.82,5479,0,0,0,43,22089,4.081624,0,very_successful
7,7,3.67,214,0,0,0,41,3592,4.062361,0,successful
11,10,3.84,1183,0,0,0,69,23609,4.256597,0,successful
5,6,3.6,3552,0,0,0,41,12913,3.981337,1,very_successful
11,26,3.38,72,0,0,0,51,4516,4.231842,0,successful
7,6,3.67,510,0,0,0,138,96838,4.264659,0,successful
5.71,5,3.75,678,0,0,0,43,80093,4.006692,0,successful
9,32,4.15,567,0,0,0,41,9395,4.110059,0,successful
9,9,4.03,216,0,0,0,60,4298,4.229409,0,successful
5.65,5,4.29,2996,0,1,0,43,40943,4.017488,0,very_successful
1.74,2,4.25,12,0,0,0,41,18138,3.831514,0,average
5.65,6,4.06,301,0,0,0,54,7034,4.060279,0,successful
14,76,4.06,31,0,0,0,36,51369,3.968269,1,average
5.65,6,4.37,217,0,1,0,38,44837,4.065905,0,successful
8,7,3.81,443,0,0,0,46,3460,3.870809,0,successful
2.66,3,3.44,1136,0,0,0,22,223392,4.306363,0,successful
9,8,3.8,1231,0,0,0,45,10600,3.867547,0,successful
11,10,4.16,274,0,1,0,31,13946,4.000143,0,successful
8,17,2.75,8,0,0,0,40,47981,4.025364,0,average
14,12,4.06,643,0,0,0,43,80093,4.006692,0,successful
5.8,8,3.83,6,0,0,0,43,16741,3.920853,0,average
13,13,4.16,138,0,1,0,41,12913,3.981337,1,successful
9,81,4.26,5359,0,1,0,40,59198,4.105054,0,very_successful
7,68,1.5,2,0,0,0,43,397,3.858942,0,average
12,14,3.79,24,0,0,0,22,196,4.020408,0,average
3.69,40,3.53,59,0,0,0,24,10917,4.364844,0,average
5,5,3.82,3208,1,0,0,63,27055,4.151395,0,successful
5.84,56,3.28,36,0,0,0,43,40943,4.017488,0,average
16,14,3,3,0,0,0,34,31,3.548387,0,average
13,50,4.03,855,0,0,0,32,9136,4.085705,1,successful
9,8,3.18,1783,0,0,0,24,10474,3.908535,0,successful
7,6,3.8,61,0,0,0,45,139607,4.216386,0,average
11,20,3.43,14,0,0,0,34,3120,4.174679,0,average
5.84,11,4.19,307,0,0,0,40,10377,4.172786,0,successful
1,11,3.8,5,0,0,0,41,8197,3.858119,0,successful
11,60,3.38,37,0,0,0,25,703,3.960171,0,successful
9,8,4.03,889,0,0,0,33,16013,4.108849,0,successful
6,56,3.5,938,0,0,0,28,13309,3.8767,0,successful
1,10,3.56,52,0,0,0,40,91631,3.837937,1,average
9,8,4.06,743,0,0,0,41,20681,3.999371,1,successful
6,6,4,8,0,0,0,23,127,3.874016,0,average
11,68,4.13,211,0,0,0,40,11597,4.215228,0,successful
7,6,4,4,0,0,0,139,34,4.352941,0,average
5,38,5,2,0,0,0,33,9,3.666667,0,average
2.72,3,3.1,20,0,0,0,35,14482,4.001588,0,average
5.87,11,3.91,209,0,0,0,29,6187,4.391304,0,successful
11,10,3.72,1008,0,0,0,25,61895,4.268002,1,successful
8,10,2.71,7,0,0,0,20,224,3.892857,0,average
14,67,3.81,187,0,0,0,40,11900,4.150756,1,successful
2,9,3.47,32,0,0,0,40,4856,4.167628,0,average
8,7,3.93,1670,0,0,0,30,66644,4.137582,1,successful
5.79,30,3.41,212,0,0,0,118,21012,4.189844,1,successful
8,22,3.74,47,0,0,0,41,50593,3.876762,0,average
4.94,5,3.93,1331,0,0,0,49,55670,4.121484,1,successful
8,7,3.82,2520,0,0,0,14,8821,3.87201,0,successful
11,10,3.46,50,0,0,0,41,225438,4.30112,0,average
8,33,0,0,0,0,0,25,1496,4.169786,0,average
9,33,4.5,4,0,0,0,41,8397,4.120281,0,average
7,6,4.26,53,0,0,0,31,2055,3.837956,1,average
11,10,4.24,1045,0,0,0,36,9200,4.289674,0,successful
8,92,3.56,16,0,0,0,55,7076,3.968061,0,average
5.83,5,4.22,2055,0,0,0,35,126370,4.146957,1,successful
8,7,3.42,373,0,0,0,63,1322,3.965204,0,successful
5.77,5,4,4,0,0,0,31,8996,3.91574,0,average
5.9,5,3.64,1933,0,0,0,30,2366,3.951817,0,successful
6,20,3.08,13,0,0,0,43,2776,3.931196,0,average
7,6,4.41,17444,0,1,0,35,126370,4.146957,1,very_successful
8,7,3.7,1404,0,0,0,48,4178,3.93753,0,successful
12,11,3.81,341,0,0,0,13,2248,4.150356,0,successful
5.78,8,4,3975,0,0,0,29,6555,4.184134,0,very_successful
12,17,3.94,387,0,0,0,43,1288,3.978261,0,successful
11,10,4.07,3070,0,0,0,35,12974,3.965701,0,very_successful
8,51,4.29,31,0,1,0,43,5846,3.832535,0,average
11,10,3.46,50,0,0,0,41,225438,4.30112,0,average
5.77,48,4.1,20744,0,0,0,46,330405,4.067348,1,very_successful
9,8,3.7,3820,0,0,0,20,15748,4.064643,0,very_successful
1.72,2,3.77,30,0,0,0,48,32168,3.884544,0,average
1.86,9,3.57,42,0,0,0,40,7248,3.943019,0,average
14,92,4.54,13,0,0,0,36,54,4.185185,0,average
3.69,4,3.64,212,0,0,0,24,1559,4.039128,0,successful
5.79,42,3.32,121,0,0,0,43,5083,3.947472,0,successful
11,30,4.11,28,1,0,0,45,9541,4.21046,0,average
9,8,3.18,72,0,0,0,26,288,3.729167,0,average
6,8,3.96,1338,0,0,0,43,54504,3.801684,1,successful
20,17,2.8,15,0,0,0,36,67,3.298507,0,average
5.66,5,3.89,1161,0,0,0,42,99283,4.285598,0,successful
8,65,3.97,29,0,0,0,33,239,3.882845,0,average
8,7,3.61,668,0,0,0,39,40616,4.098557,0,successful
6,6,3.82,134,0,0,0,35,670,3.844776,0,successful
11,10,3.96,1556,0,0,0,23,4610,4.252711,0,successful
7,6,4.2,107,0,0,0,26,247,3.94332,0,successful
11,10,3.77,1694,0,0,0,31,13946,4.000143,0,successful
5.81,30,2.61,18,0,0,0,41,26473,3.894761,0,average
14,12,3.93,2946,0,0,0,26,32858,3.885538,0,successful
5,51,0,0,0,0,0,36,295,3.989831,0,average
5,5,4.3,10,0,0,0,22,10799,4.167979,0,average
11,10,4.12,249,0,0,0,21,8989,3.85193,1,successful
12,67,3.67,3,0,0,0,32,238,4.008403,0,average
5.68,5,4.5,2,0,0,0,109,160,4.5125,1,average
11,10,4,12,0,0,0,32,546,4.014652,0,average
17,15,4.16,3040,0,1,0,52,12881,4.352612,1,successful
7,43,3.71,21,0,0,0,40,9078,3.878167,0,average
12,85,4.75,4,0,0,0,35,57,4.175439,0,average
7,6,5,2,0,0,0,41,9703,3.970731,0,average
7,33,3,2,0,0,0,41,25222,4.001546,0,average
11,59,4.11,135,0,0,0,41,6715,4.057185,1,successful
12,43,3.59,27,0,0,0,42,3237,3.948409,0,average
13,51,3.61,127,0,0,0,43,17244,3.946416,0,successful
2.72,9,0,0,0,0,0,33,378,3.597884,0,average
6,6,3.99,1600,0,0,0,33,16013,4.108849,0,very_successful
9,56,4.03,30,0,0,0,19,49,3.714286,0,average
5,5,5,1,0,0,0,47,4,3.75,0,average
5.86,5,3.73,150,0,0,0,30,9308,3.993017,0,successful
2,2,3.99,980,0,0,0,23,12309,4.04517,1,successful
7,6,4.38,996,0,1,0,41,130598,3.946791,0,successful
5.66,6,3.08,13,0,0,0,35,2782,4.069015,0,average
13,17,4.11,792,0,0,0,43,4571,3.910742,0,successful
8,7,3.6,1254,0,0,0,28,88193,4.080891,1,successful
11,10,3.78,299,0,0,0,35,433,3.896074,0,successful
8,7,4.05,8904,0,0,0,31,19221,4.168097,0,very_successful
16,76,3.53,38,0,0,0,58,1088,4.272059,1,average
11,10,4.6,5,0,0,0,42,38936,4.122997,1,average
11,10,3.72,1008,0,0,0,25,61895,4.268002,1,successful
8,7,4.16,6860,0,1,0,32,43676,4.283611,0,very_successful
14,12,4.04,481,0,0,0,41,26473,3.894761,0,successful
7,6,3.6,25,0,0,0,127,483,4.15528,0,average
12,11,3.89,2294,0,0,0,50,59903,4.153665,1,very_successful
7,50,3.49,49,0,0,0,132,1290,4.011628,0,successful
2,56,3.07,28,0,0,0,26,4435,3.696054,0,average
6,16,3.11,27,0,0,0,18,9177,3.874033,0,average
8,7,4.07,267,0,0,0,38,2745,4.125683,0,successful
8,84,3.96,8960,0,0,0,125,48654,4.204916,0,very_successful
8,25,4,32,0,0,0,43,13127,4.123943,0,successful
11,22,3.97,359,0,0,0,30,4508,4.330745,0,successful
3.66,4,3.19,1080,0,0,0,45,10600,3.867547,0,successful
1.68,2,3.67,12,0,0,0,40,1047,3.956065,0,average
13,11,2.5,2,0,0,0,29,31,3.774194,0,average
13,11,3.82,11,0,0,0,43,80093,4.006692,0,successful
11,16,2.92,12,0,0,0,16,18,3.666667,0,average
7,9,3.75,219,0,0,0,44,30643,4.152727,1,successful
4.81,76,4.16,3135,0,0,0,39,24564,3.92888,0,successful
9,8,4.29,761,0,0,0,55,5819,4.151916,0,successful
18,115,3.68,177,0,0,0,51,300,4.156667,0,average
7,6,3.63,601,0,0,0,41,12033,4.024765,0,successful
16,14,3,3,0,0,0,34,31,3.548387,0,average
5,8,3.06,31,0,0,0,40,8484,3.995167,0,successful
1.68,2,3.76,51,0,0,0,30,365,3.942466,0,successful
7,6,3.81,21,0,0,0,49,44,3.772727,0,average
6,7,2.67,3,0,0,0,8,1374,4.058952,0,average
13,19,3.76,151,0,0,0,12,171,3.94152,0,successful
11,89,3.46,24,0,0,0,52,73595,4.385692,1,average
7,6,3.29,1042,0,0,0,46,3460,3.870809,0,successful
12,11,2,3,0,0,0,38,5301,4.001132,0,average
6,17,4.14,93,0,0,0,74,629,4.166932,0,average
6,17,3.28,449,0,0,0,49,7851,4.216278,0,successful
