@relation 'cleaned_summer_products-weka.filters.unsupervised.attribute.Remove-V-R3,25,6,9,7-8,10-11,22,5,16,23,17,14,24,4,2,13,12,20-21,19,15,18,1,26'

@attribute price numeric
@attribute retail_price numeric
@attribute units_sold numeric
@attribute uses_ad_boosts numeric
@attribute rating numeric
@attribute rating_count numeric
@attribute rating_five_count numeric
@attribute rating_four_count numeric
@attribute rating_three_count numeric
@attribute rating_two_count numeric
@attribute rating_one_count numeric
@attribute badges_count numeric
@attribute badge_local_product numeric
@attribute badge_product_quality numeric
@attribute badge_fast_shipping numeric
@attribute product_color {white,green,leopardprint,black,yellow,navyblue,blue,beige,grey,lightblue,orange,red,Black,armygreen,pink,khaki,'red & blue','blue & pink',RED,'white & green',winered,'black & green',purple,whitefloral,floral,fluorescentgreen,'orange & camouflage',lightyellow,coolblack,multicolor,camouflage,lightpink,'pink & black',silver,'Army green',lightgreen,mintgreen,'pink & grey',gray,coffee,rose,'light green',leopard,'black & white',orange-red,dustypink,White,star,'white & black',apricot,skyblue,burgundy,claret,'pink & white',rosered,tan,'navy blue','wine red',lightred,Pink,coralred,brown,lakeblue,darkblue,camel,'pink & blue',nude,Blue,lightpurple,army,'black & stripe','Rose red',greysnakeskinprint,denimblue,applegreen,offwhite,lightgray,navy,'gray & white','brown & yellow','winered & yellow','army green',whitestripe,rainbow,lightgrey,watermelonred,prussianblue,'navyblue & white','white & red',wine,ivory,'black & yellow',jasper,lightkhaki,offblack,violet,'black & blue',blackwhite,darkgreen,rosegold,gold}
@attribute product_variation_inventory numeric
@attribute shipping_option_price numeric
@attribute shipping_is_express numeric
@attribute countries_shipped_to numeric
@attribute inventory_total numeric
@attribute merchant_rating_count numeric
@attribute merchant_rating numeric
@attribute merchant_has_profile_picture numeric
@attribute revenue numeric
@attribute sales_level {Low,High,Medium}

@data
16,14,100,0,3.76,54,26,8,10,1,9,0,0,0,0,white,50,4,0,34,50,568,4.128521,0,1600,Low
8,22,12350,1,3.45,6135,2269,1027,1118,644,1077,0,0,0,0,green,50,2,0,41,50,17752,3.899673,0,98800,High
8,43,100,0,3.57,14,5,4,2,0,3,0,0,0,0,leopardprint,1,3,0,36,50,295,3.989831,0,800,Low
8,8,5000,1,4.03,579,295,119,87,42,36,0,0,0,0,black,50,2,0,41,50,23832,4.020435,0,40000,High
2.72,3,100,1,3.1,20,6,4,2,2,6,0,0,0,0,yellow,1,1,0,35,50,14482,4.001588,0,272,Low
3.92,9,10,0,5,1,1,0,0,0,0,0,0,0,0,navyblue,1,1,0,40,50,65,3.507692,0,39.2,Low
7,6,12350,0,3.84,6742,3172,1352,971,490,757,0,0,0,0,white,50,2,0,31,50,10194,4.076516,1,86450,High
12,11,1000,0,3.76,286,120,56,61,18,31,0,0,0,0,blue,50,3,0,139,50,342,3.681287,0,12000,Medium
11,84,100,1,3.47,15,6,2,3,1,3,0,0,0,0,black,50,2,0,36,50,330,3.80303,0,1100,Low
5.78,22,5000,0,3.6,687,287,128,92,68,112,0,0,0,0,beige,50,2,0,33,50,5534,3.999819,0,28900,High
5.79,5,1000,0,3.46,613,245,101,81,61,125,0,0,0,0,grey,2,2,0,25,50,9470,3.956811,0,5790,Medium
6,8,100,1,3.31,13,3,4,3,0,3,0,0,0,0,lightblue,2,2,0,40,50,3515,3.983784,0,600,Low
1.91,6,1000,1,3.45,141,49,29,24,14,25,0,0,0,0,orange,1,1,0,38,50,557,4.123878,0,1910,Medium
5.79,42,1000,0,3.32,121,36,24,23,19,19,0,0,0,0,red,50,2,0,43,50,5083,3.947472,0,5790,Medium
2,2,12350,1,3.65,2457,984,481,459,206,327,0,0,0,0,yellow,1,1,0,36,50,55499,4.138885,0,24700,High
11,81,1000,0,3.92,426,204,94,62,21,45,0,0,0,0,Black,50,3,0,41,50,39381,4.066326,0,11000,Medium
11,10,10000,0,3.72,2058,840,435,386,158,239,0,0,0,0,red,50,2,0,34,50,6302,3.958426,0,110000,High
5,25,12350,1,3.83,17980,8290,3483,2951,1410,1846,0,0,0,0,white,50,1,0,41,50,139223,3.933581,0,61750,High
9,9,12350,0,3.82,5479,2456,1162,853,431,577,0,0,0,0,blue,50,3,0,43,50,22089,4.081624,0,111150,High
7,7,1000,0,3.67,214,87,36,49,17,25,0,0,0,0,red,7,2,0,41,50,3592,4.062361,0,7000,Medium
11,10,5000,0,3.84,1183,506,274,216,81,106,0,0,0,0,green,50,3,0,69,50,23609,4.256597,0,55000,High
5,6,12350,0,3.6,3552,1437,632,610,358,515,0,0,0,0,black,11,2,0,41,50,12913,3.981337,1,61750,High
11,26,1000,0,3.38,72,27,11,11,8,15,0,0,0,0,armygreen,2,2,0,51,50,4516,4.231842,0,11000,Medium
7,6,5000,1,3.67,510,213,98,85,45,69,0,0,0,0,armygreen,50,2,0,138,50,96838,4.264659,0,35000,High
5.71,5,1000,0,3.75,678,290,145,104,61,78,0,0,0,0,black,19,2,0,43,50,80093,4.006692,0,5710,Medium
9,32,1000,0,4.15,567,323,116,58,28,42,0,0,0,0,armygreen,50,3,0,41,50,9395,4.110059,0,9000,Medium
9,9,1000,0,4.03,216,105,48,39,12,12,0,0,0,0,black,5,3,0,60,50,4298,4.229409,0,9000,Medium
5.65,5,12350,0,4.29,2996,1781,628,374,104,109,1,0,1,0,white,50,2,0,43,50,40943,4.017488,0,69777.5,High
1.74,2,100,1,4.25,12,7,3,1,0,1,0,0,0,0,pink,50,1,0,41,50,18138,3.831514,0,174,Low
5.65,6,1000,0,4.06,301,156,70,34,18,23,0,0,0,0,white,50,2,0,54,50,7034,4.060279,0,5650,Medium
