@relation 'cleaned_summer_products-weka.filters.unsupervised.attribute.Remove-V-R3,5-6,22,25-26'

@attribute units_sold numeric
@attribute rating numeric
@attribute rating_count numeric
@attribute merchant_rating_count numeric
@attribute revenue numeric
@attribute sales_level {Low,High,Medium}

@data
100,3.76,54,568,1600,Low
12350,3.45,6135,17752,98800,High
100,3.57,14,295,800,Low
5000,4.03,579,23832,40000,High
100,3.1,20,14482,272,Low
10,5,1,65,39.2,Low
12350,3.84,6742,10194,86450,High
1000,3.76,286,342,12000,Medium
100,3.47,15,330,1100,Low
5000,3.6,687,5534,28900,High
1000,3.46,613,9470,5790,Medium
100,3.31,13,3515,600,Low
1000,3.45,141,557,1910,Medium
1000,3.32,121,5083,5790,Medium
12350,3.65,2457,55499,24700,High
1000,3.92,426,39381,11000,Medium
10000,3.72,2058,6302,110000,High
12350,3.83,17980,139223,61750,High
12350,3.82,5479,22089,111150,High
1000,3.67,214,3592,7000,Medium
5000,3.84,1183,23609,55000,High
12350,3.6,3552,12913,61750,High
1000,3.38,72,4516,11000,Medium
5000,3.67,510,96838,35000,High
1000,3.75,678,80093,5710,Medium
1000,4.15,567,9395,9000,Medium
1000,4.03,216,4298,9000,Medium
12350,4.29,2996,40943,69777.5,High
100,4.25,12,18138,174,Low
1000,4.06,301,7034,5650,Medium
100,4.06,31,51369,1400,Low
1000,4.37,217,44837,5650,Medium
1000,3.81,443,3460,8000,Medium
5000,3.44,1136,223392,13300,High
10000,3.8,1231,10600,90000,High
1000,4.16,274,13946,11000,Medium
100,2.75,8,47981,800,Low
5000,4.06,643,80093,70000,High
100,3.83,6,16741,580,Low
1000,4.16,138,12913,13000,Medium
12350,4.26,5359,59198,111150,High
10,1.5,2,397,70,Low
100,3.79,24,196,1200,Low
100,3.53,59,10917,369,Low
10000,3.82,3208,27055,50000,High
100,3.28,36,40943,584,Low
10,3,3,31,160,Low
1000,4.03,855,9136,13000,Medium
10000,3.18,1783,10474,90000,High
100,3.8,61,139607,700,Low
100,3.43,14,3120,1100,Low
1000,4.19,307,10377,5840,Medium
1000,3.8,5,8197,1000,Medium
1000,3.38,37,703,11000,Medium
5000,4.03,889,16013,45000,High
1000,3.5,938,13309,6000,Medium
100,3.56,52,91631,100,Low
5000,4.06,743,20681,45000,High
100,4,8,127,600,Low
1000,4.13,211,11597,11000,Medium
50,4,4,34,350,Low
50,5,2,9,250,Low
1000,3.91,209,6187,5870,Medium
5000,3.72,1008,61895,55000,High
100,2.71,7,224,800,Low
1000,3.81,187,11900,14000,Medium
100,3.47,32,4856,200,Low
10000,3.93,1670,66644,80000,High
1000,3.41,212,21012,5790,Medium
100,3.74,47,50593,800,Low
10000,3.93,1331,55670,49400,High
10000,3.82,2520,8821,80000,High
100,3.46,50,225438,1100,Low
10,5,0,1496,80,Low
50,4.5,4,8397,450,Low
100,4.26,53,2055,700,Low
10000,4.24,1045,9200,110000,High
100,3.56,16,7076,800,Low
10000,4.22,2055,126370,58300,High
1000,3.42,373,1322,8000,Medium
100,4,4,8996,577,Low
10000,3.64,1933,2366,59000,High
100,3.08,13,2776,600,Low
12350,4.41,17444,126370,86450,High
10000,3.7,1404,4178,80000,High
1000,3.81,341,2248,12000,Medium
12350,4,3975,6555,71383,High
5000,3.94,387,1288,60000,High
12350,4.07,3070,12974,135850,High
100,4.29,31,5846,800,Low
12350,4.1,20744,330405,71259.5,High
12350,3.7,3820,15748,111150,High
100,3.77,30,32168,172,Low
100,3.57,42,7248,186,Low
100,4.54,13,54,1400,Low
1000,3.64,212,1559,3690,Medium
100,4.11,28,9541,1100,Low
100,3.18,72,288,900,Low
10000,3.96,1338,54504,60000,High
100,2.8,15,67,1878.5,Low
5000,3.89,1161,99283,28300,High
100,3.97,29,239,800,Low
1000,3.61,668,40616,8000,Medium
1000,3.82,134,670,6000,Medium
5000,3.96,1556,4610,55000,High
1000,4.2,107,247,7000,Medium
10000,3.77,1694,13946,110000,High
100,2.61,18,26473,581,Low
10000,3.93,2946,32858,140000,High
10,5,0,295,50,Low
100,4.3,10,10799,500,Low
1000,4.12,249,8989,11000,Medium
10,3.67,3,238,120,Low
10,4.5,2,160,56.8,Low
100,4,12,546,1100,Low
10000,4.16,3040,12881,170000,High
100,3.71,21,9078,700,Low
50,4.75,4,57,600,Low
100,5,2,9703,700,Low
50,3,2,25222,350,Low
1000,4.11,135,6715,11000,Medium
100,3.59,27,3237,1200,Low
5000,3.61,127,17244,65000,High
